doc_no,doc_type,tx_date,month_year,gross_amount,settled_amount,open_amount,settlement_unit,evidence_tier,evidence_status,matched_against,notes
00023311,INVOICE,2023-08-09,2023-08,7142.65,6964.08,178.57,UNCHARACTERIZED,5,UNASSESSED,,"No candidate found (exact-sum, contiguous-run, proximity, or cross-account). Genuine gap requiring investigation."
00024011,INVOICE,2023-08-31,2023-08,8532.19,8405.14,127.05,UNCHARACTERIZED,5,UNASSESSED,,"No candidate found (exact-sum, contiguous-run, proximity, or cross-account). Genuine gap requiring investigation."
00024201,INVOICE,2023-09-05,2023-09,8532.19,8318.89,213.3,UNCHARACTERIZED,5,UNASSESSED,,"No candidate found (exact-sum, contiguous-run, proximity, or cross-account). Genuine gap requiring investigation."
00025042,INVOICE,2023-10-01,2023-10,8330.42,8122.16,208.26,UNCHARACTERIZED,5,UNASSESSED,,"No candidate found (exact-sum, contiguous-run, proximity, or cross-account). Genuine gap requiring investigation."
00025293,INVOICE,2023-10-08,2023-10,7466.86,7280.19,186.67,UNCHARACTERIZED,5,UNASSESSED,,"No candidate found (exact-sum, contiguous-run, proximity, or cross-account). Genuine gap requiring investigation."
00026027,INVOICE,2023-10-30,2023-10,13315.01,12982.13,332.88,UNCHARACTERIZED,5,UNASSESSED,,"No candidate found (exact-sum, contiguous-run, proximity, or cross-account). Genuine gap requiring investigation."
00026553,INVOICE,2023-11-13,2023-11,7532.25,0,7532.25,UNCHARACTERIZED,5,UNASSESSED,,"No candidate found (exact-sum, contiguous-run, proximity, or cross-account). Genuine gap requiring investigation."
00026577,INVOICE,2023-11-13,2023-11,8764.79,8764.79,0,PER_INVOICE_REF_LINKED,1,PROVEN,29684,Settled via ONE_SHOT_REMITTANCE profile (1 allocation row(s)).
00027340,INVOICE,2023-12-05,2023-12,23007.6,23007.6,0,PER_INVOICE_REF_LINKED,1,PROVEN,29684,Settled via ONE_SHOT_REMITTANCE profile (1 allocation row(s)).
00027764,INVOICE,2023-12-18,2023-12,13119.2,13119.2,0,PER_INVOICE_REF_LINKED,1,PROVEN,29684,Settled via ONE_SHOT_REMITTANCE profile (1 allocation row(s)).
00028765,INVOICE,2024-01-17,2024-01,10732.43,10464.12,268.31,UNCHARACTERIZED,5,UNASSESSED,,"No candidate found (exact-sum, contiguous-run, proximity, or cross-account). Genuine gap requiring investigation."
00029140,INVOICE,2024-01-30,2024-01,14650.14,14283.89,366.25,UNCHARACTERIZED,5,UNASSESSED,,"No candidate found (exact-sum, contiguous-run, proximity, or cross-account). Genuine gap requiring investigation."
00029889,INVOICE,2024-02-25,2024-02,11363.38,11079.3,284.08,UNCHARACTERIZED,5,UNASSESSED,,"No candidate found (exact-sum, contiguous-run, proximity, or cross-account). Genuine gap requiring investigation."
00030762,INVOICE,2024-03-26,2024-03,15003.94,14628.84,375.1,UNCHARACTERIZED,5,UNASSESSED,,"No candidate found (exact-sum, contiguous-run, proximity, or cross-account). Genuine gap requiring investigation."
00031404,INVOICE,2024-04-17,2024-04,10825.64,10555,270.64,UNCHARACTERIZED,5,UNASSESSED,,"No candidate found (exact-sum, contiguous-run, proximity, or cross-account). Genuine gap requiring investigation."
00031907,INVOICE,2024-05-05,2024-05,10677.41,10410.47,266.94,UNCHARACTERIZED,5,UNASSESSED,,"No candidate found (exact-sum, contiguous-run, proximity, or cross-account). Genuine gap requiring investigation."
00032419,INVOICE,2024-05-23,2024-05,17956.15,17507.25,448.9,UNCHARACTERIZED,5,UNASSESSED,,"No candidate found (exact-sum, contiguous-run, proximity, or cross-account). Genuine gap requiring investigation."
00033277,INVOICE,2024-06-19,2024-06,15372.51,14988.2,384.31,UNCHARACTERIZED,5,UNASSESSED,,"No candidate found (exact-sum, contiguous-run, proximity, or cross-account). Genuine gap requiring investigation."
00033800,INVOICE,2024-07-03,2024-07,8724.99,8506.87,218.12,UNCHARACTERIZED,5,UNASSESSED,,No same-account candidate found. Doc number also appears in: WO0001/payments.csv — verify not a cross-account misposting before treating as a genuine gap.
00034342,INVOICE,2024-07-17,2024-07,13613.85,13273.5,340.35,UNCHARACTERIZED,5,UNASSESSED,,"No candidate found (exact-sum, contiguous-run, proximity, or cross-account). Genuine gap requiring investigation."
00035091,INVOICE,2024-08-07,2024-08,11606.17,11316.02,290.15,UNCHARACTERIZED,5,UNASSESSED,,"No candidate found (exact-sum, contiguous-run, proximity, or cross-account). Genuine gap requiring investigation."
00036005,INVOICE,2024-09-05,2024-09,15401.49,15016.45,385.04,PER_CALENDAR_MONTH_EXACT_SUM,3,ASSERTED,00034518,"STEP 3 candidate (EXACT_SUM_SINGLE) vs payment 00034518; basket-check: LPG lane consistent, SKU baskets present. Script-generated — not ERP/human-confirmed. Per D-NEW.5, month-level tie-out only — never treat as per-invoice-confident."
00036926,INVOICE,2024-10-02,2024-10,21036.66,20510.74,525.92,UNCHARACTERIZED,5,UNASSESSED,,"No candidate found (exact-sum, contiguous-run, proximity, or cross-account). Genuine gap requiring investigation."
00037817,INVOICE,2024-10-30,2024-10,20296.12,19788.72,507.4,UNCHARACTERIZED,5,UNASSESSED,,"No candidate found (exact-sum, contiguous-run, proximity, or cross-account). Genuine gap requiring investigation."
00038582,INVOICE,2024-11-25,2024-11,14312.57,33969.07,-19656.5,UNCHARACTERIZED,5,UNASSESSED,,"No candidate found (exact-sum, contiguous-run, proximity, or cross-account). Genuine gap requiring investigation."
00039022,INVOICE,2024-12-12,2024-12,7788.55,19871.52,-12082.97,UNCHARACTERIZED,5,UNASSESSED,,"No candidate found (exact-sum, contiguous-run, proximity, or cross-account). Genuine gap requiring investigation."
00039683,INVOICE,2025-01-07,2025-01,10895.92,26765.92,-15870,UNCHARACTERIZED,5,UNASSESSED,,"No candidate found (exact-sum, contiguous-run, proximity, or cross-account). Genuine gap requiring investigation."
00040081,INVOICE,2025-01-21,2025-01,5258.03,15217.83,-9959.8,UNCHARACTERIZED,5,UNASSESSED,,"No candidate found (exact-sum, contiguous-run, proximity, or cross-account). Genuine gap requiring investigation."
00040459,INVOICE,2025-02-04,2025-02,9663.45,22372.3,-12708.85,UNCHARACTERIZED,5,UNASSESSED,,"No candidate found (exact-sum, contiguous-run, proximity, or cross-account). Genuine gap requiring investigation."
00040950,INVOICE,2025-02-23,2025-02,10105.37,24821.42,-14716.05,UNCHARACTERIZED,5,UNASSESSED,,"No candidate found (exact-sum, contiguous-run, proximity, or cross-account). Genuine gap requiring investigation."
00041747,INVOICE,2025-03-25,2025-03,12226.63,31568.19,-19341.56,UNCHARACTERIZED,5,UNASSESSED,,"No candidate found (exact-sum, contiguous-run, proximity, or cross-account). Genuine gap requiring investigation."
00042045,INVOICE,2025-04-06,2025-04,8249.3,0,8249.3,UNCHARACTERIZED,5,UNASSESSED,,"No candidate found (exact-sum, contiguous-run, proximity, or cross-account). Genuine gap requiring investigation."
00042050,INVOICE,2025-04-06,2025-04,8058.97,19630.62,-11571.65,UNCHARACTERIZED,5,UNASSESSED,,"No candidate found (exact-sum, contiguous-run, proximity, or cross-account). Genuine gap requiring investigation."
00042468,INVOICE,2025-04-22,2025-04,7713.58,7520.74,192.84,UNCHARACTERIZED,5,UNASSESSED,,"No candidate found (exact-sum, contiguous-run, proximity, or cross-account). Genuine gap requiring investigation."
00042470,INVOICE,2025-04-22,2025-04,546.86,1205.94,-659.08,UNCHARACTERIZED,5,UNASSESSED,,"No candidate found (exact-sum, contiguous-run, proximity, or cross-account). Genuine gap requiring investigation."
00043111,INVOICE,2025-05-15,2025-05,10649.34,0,10649.34,UNCHARACTERIZED,5,UNASSESSED,,"No candidate found (exact-sum, contiguous-run, proximity, or cross-account). Genuine gap requiring investigation."
00043112,INVOICE,2025-05-15,2025-05,10649.34,27899.34,-17250,UNCHARACTERIZED,5,UNASSESSED,,"No candidate found (exact-sum, contiguous-run, proximity, or cross-account). Genuine gap requiring investigation."
00043294,INVOICE,2025-05-22,2025-05,9425.71,24433.21,-15007.5,UNCHARACTERIZED,5,UNASSESSED,,"No candidate found (exact-sum, contiguous-run, proximity, or cross-account). Genuine gap requiring investigation."
00043909,INVOICE,2025-06-12,2025-06,10512.26,27762.26,-17250,UNCHARACTERIZED,5,UNASSESSED,,"No candidate found (exact-sum, contiguous-run, proximity, or cross-account). Genuine gap requiring investigation."
00044235,INVOICE,2025-06-25,2025-06,10512.26,27762.26,-17250,UNCHARACTERIZED,5,UNASSESSED,,"No candidate found (exact-sum, contiguous-run, proximity, or cross-account). Genuine gap requiring investigation."
00044542,INVOICE,2025-07-04,2025-07,10512.26,27762.26,-17250,UNCHARACTERIZED,5,UNASSESSED,,"No candidate found (exact-sum, contiguous-run, proximity, or cross-account). Genuine gap requiring investigation."
00044731,INVOICE,2025-07-09,2025-07,2512.52,7687.52,-5175,UNCHARACTERIZED,5,UNASSESSED,,"No candidate found (exact-sum, contiguous-run, proximity, or cross-account). Genuine gap requiring investigation."
00044816,INVOICE,2025-07-13,2025-07,2512.52,7687.52,-5175,UNCHARACTERIZED,5,UNASSESSED,,"No candidate found (exact-sum, contiguous-run, proximity, or cross-account). Genuine gap requiring investigation."
00044967,INVOICE,2025-07-18,2025-07,8542.51,22515.01,-13972.5,UNCHARACTERIZED,5,UNASSESSED,,"No candidate found (exact-sum, contiguous-run, proximity, or cross-account). Genuine gap requiring investigation."
00045148,INVOICE,2025-07-25,2025-07,3768.78,3768.78,0,PER_INVOICE_REF_LINKED,1,PROVEN,43500,Settled via ONE_SHOT_REMITTANCE profile (1 allocation row(s)).
00045302,INVOICE,2025-07-31,2025-07,8374.97,20104.97,-11730,UNCHARACTERIZED,5,UNASSESSED,,"No candidate found (exact-sum, contiguous-run, proximity, or cross-account). Genuine gap requiring investigation."
00045666,INVOICE,2025-08-14,2025-08,9616.19,25831.19,-16215,UNCHARACTERIZED,5,UNASSESSED,,"No candidate found (exact-sum, contiguous-run, proximity, or cross-account). Genuine gap requiring investigation."
00045986,INVOICE,2025-08-28,2025-08,10654.27,27559.27,-16905,UNCHARACTERIZED,5,UNASSESSED,,"No candidate found (exact-sum, contiguous-run, proximity, or cross-account). Genuine gap requiring investigation."
00046470,INVOICE,2025-09-16,2025-09,12166.71,32866.71,-20700,UNCHARACTERIZED,5,UNASSESSED,,"No candidate found (exact-sum, contiguous-run, proximity, or cross-account). Genuine gap requiring investigation."
00046762,INVOICE,2025-09-29,2025-09,3846.26,11091.26,-7245,UNCHARACTERIZED,5,UNASSESSED,,"No candidate found (exact-sum, contiguous-run, proximity, or cross-account). Genuine gap requiring investigation."
00047196,INVOICE,2025-10-19,2025-10,13344.14,36631.64,-23287.5,UNCHARACTERIZED,5,UNASSESSED,,"No candidate found (exact-sum, contiguous-run, proximity, or cross-account). Genuine gap requiring investigation."
00047714,INVOICE,2025-11-16,2025-11,8520.86,24390.86,-15870,UNCHARACTERIZED,5,UNASSESSED,,"No candidate found (exact-sum, contiguous-run, proximity, or cross-account). Genuine gap requiring investigation."
00048160,INVOICE,2025-12-07,2025-12,9156.02,24336.02,-15180,UNCHARACTERIZED,5,UNASSESSED,,"No candidate found (exact-sum, contiguous-run, proximity, or cross-account). Genuine gap requiring investigation."
00048686,INVOICE,2026-01-08,2026-01,12380.03,0,12380.03,UNCHARACTERIZED,5,UNASSESSED,,"No candidate found (exact-sum, contiguous-run, proximity, or cross-account). Genuine gap requiring investigation."
00048687,INVOICE,2026-01-08,2026-01,12380.03,35150.03,-22770,UNCHARACTERIZED,5,UNASSESSED,,"No candidate found (exact-sum, contiguous-run, proximity, or cross-account). Genuine gap requiring investigation."
00049208,INVOICE,2026-02-11,2026-02,13410.97,35663.47,-22252.5,UNCHARACTERIZED,5,UNASSESSED,,"No candidate found (exact-sum, contiguous-run, proximity, or cross-account). Genuine gap requiring investigation."
00049606,INVOICE,2026-03-05,2026-03,8277.21,23457.21,-15180,UNCHARACTERIZED,5,UNASSESSED,,"No candidate found (exact-sum, contiguous-run, proximity, or cross-account). Genuine gap requiring investigation."
00049882,INVOICE,2026-03-23,2026-03,8858.97,23348.97,-14490,UNCHARACTERIZED,5,UNASSESSED,,"No candidate found (exact-sum, contiguous-run, proximity, or cross-account). Genuine gap requiring investigation."
00050099,INVOICE,2026-04-05,2026-04,9010.16,22982.66,-13972.5,UNCHARACTERIZED,5,UNASSESSED,,"No candidate found (exact-sum, contiguous-run, proximity, or cross-account). Genuine gap requiring investigation."
00050439,INVOICE,2026-04-29,2026-04,5300.12,5300.12,0,PER_INVOICE_REF_LINKED,1,PROVEN,45899,Settled via ONE_SHOT_REMITTANCE profile (1 allocation row(s)).
00050680,INVOICE,2026-05-13,2026-05,7245.45,16387.95,-9142.5,UNCHARACTERIZED,5,UNASSESSED,,"No candidate found (exact-sum, contiguous-run, proximity, or cross-account). Genuine gap requiring investigation."
00050898,INVOICE,2026-05-26,2026-05,8430.45,20332.95,-11902.5,UNCHARACTERIZED,5,UNASSESSED,,"No candidate found (exact-sum, contiguous-run, proximity, or cross-account). Genuine gap requiring investigation."
00051180,INVOICE,2026-06-11,2026-06,12471.98,0,12471.98,UNCHARACTERIZED,5,UNASSESSED,,"No candidate found (exact-sum, contiguous-run, proximity, or cross-account). Genuine gap requiring investigation."
00051226,INVOICE,2026-06-14,2026-06,12471.98,12160.18,311.8,UNCHARACTERIZED,5,UNASSESSED,,"No candidate found (exact-sum, contiguous-run, proximity, or cross-account). Genuine gap requiring investigation."
00051496,INVOICE,2026-06-30,2026-06,12471.98,28978.93,-16506.95,UNCHARACTERIZED,5,UNASSESSED,,"No candidate found (exact-sum, contiguous-run, proximity, or cross-account). Genuine gap requiring investigation."
00051841,INVOICE,2026-07-14,2026-07,9952.49,23831.43,-13878.94,UNCHARACTERIZED,5,UNASSESSED,,"No candidate found (exact-sum, contiguous-run, proximity, or cross-account). Genuine gap requiring investigation."
00052241,INVOICE,2026-07-30,2026-07,14387.09,33200.79,-18813.7,UNCHARACTERIZED,5,UNASSESSED,,"No candidate found (exact-sum, contiguous-run, proximity, or cross-account). Genuine gap requiring investigation."
00052484,INVOICE,2026-08-11,2026-08,6926.34,0,6926.34,UNCHARACTERIZED,5,UNASSESSED,,"No candidate found (exact-sum, contiguous-run, proximity, or cross-account). Genuine gap requiring investigation."
00052803,INVOICE,2026-08-25,2026-08,11142.35,0,11142.35,UNCHARACTERIZED,5,UNASSESSED,,"No candidate found (exact-sum, contiguous-run, proximity, or cross-account). Genuine gap requiring investigation."
00022182,PAYMENT,2023-06-27,2023-06,46424.87,45264.25,1160.62,UNCHARACTERIZED,5,UNASSESSED,,Orphaned cash — no target doc found in this account or any sibling account.
00023115,PAYMENT,2023-07-25,2023-07,8145.79,7942.14,203.65,UNCHARACTERIZED,5,UNASSESSED,(consumed by a STEP 3 candidate above),Orphaned cash consumed by a candidate match against a gap doc above.
00037732,PAYMENT,2024-07-22,2024-07,20861.58,0,20861.58,UNCHARACTERIZED,5,UNASSESSED,,Orphaned cash — no target doc found in this account or any sibling account.
00034518,PAYMENT,2024-10-25,2024-10,38723.49,38338.45,385.04,UNCHARACTERIZED,5,UNASSESSED,(consumed by a STEP 3 candidate above),Orphaned cash consumed by a candidate match against a gap doc above.
