allocation_id,payment_doc,payment_date,batch_ref,stat_no,payment_amount,target_doc,target_date,target_lane,target_amount,allocated_amount,residual_after_allocation,allocation_type,evidence_source,confidence,commercially_confirmed,review_required,notes
AL-0011,00000614,2017-02-14,T3000025,T3000025,4035.59,00000459,2017-02-14,LPG,4035.59,4035.59,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (459)."
AL-0012,00000681,2017-03-06,T3000029,T3000029,4586.69,00000516,2017-03-05,LPG,4586.69,4586.69,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (516)."
AL-0013,00000747,2017-03-22,,,6364.49,00000587,2017-03-22,LPG,6364.49,6364.49,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (587)."
AL-0014,00000798,2017-04-06,T3000036,T3000036,3788.76,00000652,2017-04-06,LPG,3788.76,3788.76,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (652)."
AL-0015,00000823,2017-04-18,T3000038,T3000038,4705.58,00000702,2017-04-18,LPG,4705.58,4705.58,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (702)."
AL-0016,00000904,2017-05-02,T3000039,T3000039,3950.44,00000776,2017-05-02,LPG,3950.44,3950.44,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (776)."
AL-0017,00000939,2017-05-10,T3000040,T3000040,2346.68,00000813,2017-05-10,LPG,2346.68,2346.68,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (813)."
AL-0018,00000991,2017-05-22,T3000040,T3000040,4320.03,00000882,2017-05-21,LPG,4320.03,4320.03,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (882)."
AL-0019,00001131,2017-06-20,T3000043,T3000043,3722.16,00001058,2017-06-20,LPG,3722.16,3722.16,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (1058)."
AL-0020,00001223,2017-06-29,T3000044,T3000044,3737.17,00001133,2017-06-29,LPG,3737.17,3737.17,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (1133)."
AL-0021,00001343,2017-07-26,T3000047,T3000047,4719.74,00001281,2017-07-25,LPG,4719.74,4719.74,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (1281)."
AL-0022,00001419,2017-08-07,T3000049,T3000049,3401.26,00001355,2017-08-07,LPG,3401.26,3401.26,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (1355)."
AL-0023,00001421,2017-08-07,T3000049,T3000049,523.26,00001360,2017-08-07,LPG,523.26,523.26,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (1360)."
AL-0024,00001477,2017-08-16,T3000049,T3000049,4593.16,00001412,2017-08-16,LPG,4593.16,4593.16,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (1412)."
AL-0025,00001532,2017-08-23,T3000050,T3000050,4418.64,00001472,2017-08-23,LPG+OTHER,4418.64,4418.64,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (LPG+OTHER event net) (after CN offset). ERP ref cross-check agrees (1472)."
AL-0026,00001620,2017-09-03,T3000053,T3000053,3924.45,00001547,2017-09-03,LPG,3924.45,3924.45,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (1547)."
AL-0027,00001661,2017-09-10,T3000053,T3000053,4675.95,00001591,2017-09-10,LPG,4675.95,4675.95,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (1591)."
AL-0028,00001753,2017-09-28,T3000059,T3000059,3525.96,00001685,2017-09-28,LPG,3525.96,3525.96,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (1685)."
AL-0029,00001816,2017-10-08,T3000060,T3000060,3234.26,00001736,2017-10-08,LPG,3234.26,3234.26,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (1736)."
AL-0030,00001873,2017-10-19,T3000062,T3000062,4749.74,00001810,2017-10-19,LPG,4749.74,4749.74,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (1810)."
AL-0031,00001932,2017-10-30,T3000066,T3000066,4953.82,00001849,2017-10-30,LPG,4953.82,4953.82,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (1849)."
AL-0032,00001968,2017-11-07,T3000072,T3000072,2788.53,00001893,2017-11-07,LPG,2788.53,2788.53,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (1893)."
AL-0033,00002038,2017-11-16,,,3452.26,00001952,2017-11-16,LPG,3452.26,3452.26,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (1952)."
AL-0034,00002115,2017-11-27,T3000084,T3000084,3844.4,00002016,2017-11-27,LPG,3844.4,3844.4,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (2016)."
AL-0035,00002183,2017-12-06,T3000092,T3000092,4441.54,00002086,2017-12-06,LPG,4441.54,4441.54,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (2086)."
AL-0036,00002294,2017-12-14,T3000096,T3000096,5459.7,00002178,2017-12-14,LPG,5459.7,5459.7,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (2178)."
AL-0037,00002345,2017-12-20,T3000104,T3000104,4827.56,00002241,2017-12-20,LPG,4827.56,4827.56,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (2241)."
AL-0038,00002394,2017-12-27,T3000106,T3000106,4037.6,00002286,2017-12-27,LPG,4037.6,4037.6,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (2286)."
AL-0039,00002443,2018-01-03,T3000108,T3000108,2052,00002341,,LPG,0,0,2052,UNALLOCATED,ERP_LEDGER,Exception,false,true,"No LPG for ref 2341."
AL-0040,00002443,2018-01-03,T3000108,T3000108,5705.32,00002336,2018-01-03,LPG,5705.32,5705.32,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (2336)."
AL-0041,00002491,2018-01-10,T3000109,T3000109,2563.02,00002397,2018-01-10,LPG,2563.02,2563.02,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (2397)."
AL-0042,00002592,2018-01-25,T3000115,T3000115,4195.61,00002481,2018-01-25,LPG,4195.61,4195.61,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (2481)."
AL-0043,00002728,2018-02-13,T3000120,T3000120,4862.68,00002609,2018-02-13,LPG,4862.68,4862.68,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (2609)."
AL-0044,00002821,2018-02-26,T3000124,T3000124,6776.18,00002689,2018-02-26,LPG,6776.18,6776.18,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (2689)."
AL-0045,00002892,2018-03-07,T3000130,T3000130,5424.45,00002754,2018-03-07,LPG,5424.45,5424.45,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (2754)."
AL-0046,00002949,2018-03-13,T3000132,T3000132,6069.75,00002792,2018-03-13,LPG,6069.75,6069.75,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (2792)."
AL-0047,00003018,2018-03-23,T3000134,T3000134,6172.11,00002871,2018-03-23,LPG,6172.11,6172.11,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (2871)."
AL-0048,00008804,2021-05-20,T7000068,T7000068,5498.78,00008523,2021-05-20,LPG,5498.78,5498.78,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (8523)."
AL-0049,00009181,2021-06-21,T7000095,T7000095,9551.57,00008926,2021-06-20,LPG,9551.57,9551.57,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (8926)."
AL-0050,00010328,2021-08-18,T7000141,T7000141,9072.69,00009827,2021-08-17,LPG,9072.69,9072.69,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (9827)."
AL-0051,00010449,2021-08-27,T7000148,T7000148,10525.84,00009959,2021-08-27,LPG,10525.84,10525.84,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (9959)."
AL-0052,00010548,2021-09-04,T7000155,T7000155,9969.23,00010062,2021-09-03,LPG,9969.23,9969.23,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (10062)."
AL-0053,00010686,2021-09-14,T7000164,T7000164,9427.41,00010191,2021-09-14,LPG,9427.41,9427.41,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (10191)."
AL-0054,00010838,2021-09-22,,,9548.05,00010315,2021-09-22,LPG,9548.05,9548.05,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (10315)."
AL-0055,00011007,2021-09-30,,,10411.76,00010427,2021-09-30,LPG,10411.76,10411.76,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (10427)."
AL-0056,00011209,2021-10-11,STAT192,STAT192,9745,00010659,2021-10-10,LPG,9745.39,9745,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,true,"Open balance trunc/over (Δ-0.39). ERP ref cross-check agrees (10659)."
AL-0057,00011203,2021-10-15,STAT192,STAT192,10977,00010711,2021-10-15,LPG,10977.38,10977,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,true,"Open balance trunc/over (Δ-0.38). ERP ref cross-check agrees (10711)."
AL-0058,00011479,2021-10-28,STAT192,STAT192,9745.39,00010974,2021-10-28,LPG,9745.39,9745.39,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (10974)."
AL-0059,00011588,2021-11-08,STAT193,STAT193,11668,00011145,2021-11-08,LPG,11668.73,11668,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,true,"Open balance trunc/over (Δ-0.73). ERP ref cross-check agrees (11145)."
AL-0060,00011589,2021-11-16,,,0.73,00011145,2021-11-08,LPG,0.73,0.73,0,COMBINATION_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,true,"Tier 2 combination on Pmt 11589; Δ0.38. Targets: 11145 + 10659."
AL-0061,00011589,2021-11-16,,,0.39,00010659,2021-10-10,LPG,0.39,0.39,0,COMBINATION_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,true,"Tier 2 combination on Pmt 11589; Δ0.38. Targets: 11145 + 10659."
AL-0062,00011923,2021-12-01,STAT194,STAT194,4784,00015019,,LPG,0,0,4784,UNALLOCATED,ERP_LEDGER,Exception,false,true,"No LPG for ref 15019."
AL-0063,00011923,2021-12-01,STAT194,STAT194,11229.82,00011466,2021-11-28,LPG,11229.82,11229.82,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (11466)."
AL-0064,00011923,2021-12-01,STAT194,STAT194,1196.18,00015379,,LPG,0,0,1196.18,UNALLOCATED,ERP_LEDGER,Exception,false,true,"No LPG for ref 15379."
AL-0065,00011923,2021-12-01,STAT194,STAT194,2990,00014939,,LPG,0,0,2990,UNALLOCATED,ERP_LEDGER,Exception,false,true,"No LPG for ref 14939."
AL-0066,00011923,2021-12-01,STAT194,STAT194,2990,00015965,,LPG,0,0,2990,UNALLOCATED,ERP_LEDGER,Exception,false,true,"No LPG for ref 15965."
AL-0067,00011976,2021-12-13,T7000234,T7000234,12416.09,00011653,2021-12-13,LPG,12416.09,12416.09,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (11653)."
AL-0068,00012163,2022-01-02,T7000244,T7000244,6635.99,00011840,2021-12-29,LPG,6635.99,6635.99,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (11840)."
AL-0069,00012230,2022-01-06,T7000248,T7000248,8364.87,00011882,2022-01-04,LPG,9744.87,8364.87,0,OPEN_BALANCE_PARTIAL,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,true,"Partial vs net open 9744.87 (Δ-1380.00). ERP ref cross-check agrees (11882)."
AL-0070,00012540,2022-01-19,STAT195,STAT195,0.03,,,LPG,0,0.03,0,ROUNDING_RESIDUAL,EXPLICIT_ALLOCATION,Confirmed,false,false,"Blank ref micro-residual ≤R1.00."
AL-0071,00012540,2022-01-19,STAT195,STAT195,7999.97,00012034,2022-01-19,LPG,7999.97,7999.97,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (12034)."
AL-0072,00012554,2022-01-31,T7000266,T7000266,6544.94,00012112,2022-01-31,LPG,7924.94,6544.94,0,OPEN_BALANCE_PARTIAL,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,true,"Partial vs net open 7924.94 (Δ-1380.00). ERP ref cross-check agrees (12112)."
AL-0073,00012733,2022-02-09,STAT196,STAT196,10524.93,00012222,2022-02-09,LPG,10524.93,10524.93,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (12222)."
AL-0074,00012756,2022-02-18,T7000282,T7000282,11817.91,00012332,2022-02-18,LPG,11817.91,11817.91,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (12332)."
AL-0075,00012930,2022-03-04,STAT197,STAT197,11723.76,00012464,2022-03-03,LPG,11723.76,11723.76,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (12464)."
AL-0076,00013243,2022-03-15,STAT197,STAT197,11826.6,00012581,2022-03-14,LPG,11826.6,11826.6,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (12581)."
AL-0077,00013256,2022-03-24,STAT197,STAT197,5733.31,00012686,2022-03-24,LPG,5733.31,5733.31,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (12686)."
AL-0078,00013548,2022-04-06,STAT198,STAT198,10179.86,00012824,2022-04-05,LPG,10179.86,10179.86,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (12824)."
AL-0079,00013576,2022-04-18,STAT198,STAT198,11518.57,00012987,2022-04-15,LPG,11518.57,11518.57,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (12987)."
AL-0080,00013543,2022-04-27,STAT198,STAT198,11072.34,00013139,2022-04-25,LPG,11072.34,11072.34,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (13139)."
AL-0081,00013543,2022-04-27,STAT198,STAT198,0.16,,,LPG,0,0.16,0,ROUNDING_RESIDUAL,EXPLICIT_ALLOCATION,Confirmed,false,false,"Blank ref micro-residual ≤R1.00."
AL-0082,00013661,2022-05-06,STAT199,STAT199,12957,00013325,2022-05-06,LPG,12957.15,12957,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,true,"Open balance trunc/over (Δ-0.15). ERP ref cross-check agrees (13325)."
AL-0083,00013995,2022-05-22,STAT79,STAT79,15274,00013578,2022-05-19,LPG,15274,15274,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (13578)."
AL-0084,00014259,2022-06-05,STAT80,STAT80,13586.42,00013761,2022-05-30,LPG,13586.42,13586.42,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (13761)."
AL-0085,00014259,2022-06-05,STAT80,STAT80,0.58,,,LPG,0,0.58,0,ROUNDING_RESIDUAL,EXPLICIT_ALLOCATION,Confirmed,false,false,"Blank ref micro-residual ≤R1.00."
AL-0086,00014619,2022-06-30,STAT81,STAT81,9868,00013971,2022-06-13,LPG,9868.04,9868,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (13971)."
AL-0087,00014872,2022-07-10,STAT81,STAT81,11641.43,00014323,2022-07-04,LPG,11641.43,11641.43,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (14323)."
AL-0088,00015219,2022-07-25,STAT81,STAT81,11923.2,00014554,2022-07-15,LPG,11923.2,11923.2,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (14554)."
AL-0089,00015318,2022-08-03,STAT82,STAT82,7231.2,00014727,2022-07-25,LPG,7231.2,7231.2,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (14727)."
AL-0090,00015710,2022-08-25,STAT82,STAT82,11661.46,00014935,2022-08-04,LPG,11661.46,11661.46,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (14935)."
AL-0091,00015912,2022-09-06,STAT83,STAT83,0.24,,,LPG,0,0.24,0,ROUNDING_RESIDUAL,EXPLICIT_ALLOCATION,Confirmed,false,false,"Blank ref micro-residual ≤R1.00."
AL-0092,00015912,2022-09-06,STAT83,STAT83,9497.76,00015015,2022-08-10,LPG,9497.76,9497.76,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (15015)."
AL-0093,00016213,2022-09-28,STAT84,STAT84,12330,00015777,2022-09-22,LPG,12330.3,12330,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,true,"Open balance trunc/over (Δ-0.30). ERP ref cross-check agrees (15777)."
AL-0094,00016288,2022-10-04,STAT84,STAT84,16677.06,00015370,2022-08-29,LPG,16859.92,16677.06,0,OPEN_BALANCE_PARTIAL,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,true,"Partial vs net open 16859.92 (Δ-182.86). ERP ref cross-check agrees (15370)."
AL-0095,00016428,2022-10-09,STAT84,STAT84,0.03,,,LPG,0,0.03,0,ROUNDING_RESIDUAL,EXPLICIT_ALLOCATION,Confirmed,false,false,"Blank ref micro-residual ≤R1.00."
AL-0096,00016428,2022-10-09,STAT84,STAT84,13698.97,00015961,2022-10-07,LPG,13698.97,13698.97,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (15961)."
AL-0097,00016491,2022-10-19,STAT84,STAT84,11778.76,00016028,2022-10-12,LPG,11778.76,11778.76,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (16028)."
AL-0098,00017279,2022-11-06,STAT85,STAT85,12581.92,00016223,2022-10-27,LPG,12581.92,12581.92,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (16223)."
AL-0099,00017197,2022-12-06,STAT86,STAT86,11404.32,00016686,2022-12-02,LPG,11404.32,11404.32,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (16686)."
AL-0100,00017470,2022-12-20,STAT86,STAT86,11100.84,00016852,2022-12-14,LPG,11100.84,11100.84,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (16852)."
AL-0101,00017518,2022-12-27,STAT86,STAT86,9094.66,00016971,2022-12-20,LPG,9094.66,9094.66,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (16971)."
AL-0102,00017518,2022-12-27,STAT86,STAT86,0.34,,,LPG,0,0.34,0,ROUNDING_RESIDUAL,EXPLICIT_ALLOCATION,Confirmed,false,false,"Blank ref micro-residual ≤R1.00."
