doc_no,doc_type,tx_date,month_year,gross_amount,settled_amount,open_amount,settlement_unit,evidence_tier,evidence_status,matched_against,notes
00004732,INVOICE,2019-02-02,2019-02,1750.01,1750.01,0,PER_INVOICE_FIFO_BATCH,3,ASSERTED,00005437,Settled via FIFO_BATCH profile (1 allocation row(s)).
00004741,INVOICE,2019-02-06,2019-02,1400.01,1400.01,0,PER_INVOICE_FIFO_BATCH,3,ASSERTED,00005437,Settled via FIFO_BATCH profile (1 allocation row(s)).
00004754,INVOICE,2019-02-08,2019-02,1200,1200,0,PER_INVOICE_FIFO_BATCH,3,ASSERTED,00005437,Settled via FIFO_BATCH profile (1 allocation row(s)).
00004766,INVOICE,2019-02-12,2019-02,1500,0,1500,POOLED_MULTI_MONTH_WINDOW,3,ASSERTED,00007226,"STEP 3 candidate (EXACT_SUM_RUN) vs payment 00007226; basket-check: LPG lane consistent, SKU baskets present. Script-generated — not ERP/human-confirmed. Per D-NEW.5, window-level only, weak."
00004767,INVOICE,2019-02-12,2019-02,1200,1200,0,PER_INVOICE_FIFO_BATCH,3,ASSERTED,00005437,Settled via FIFO_BATCH profile (1 allocation row(s)).
00004791,INVOICE,2019-02-16,2019-02,442.11,442.11,0,PER_INVOICE_FIFO_BATCH,3,ASSERTED,00005437,Settled via FIFO_BATCH profile (1 allocation row(s)).
00004792,INVOICE,2019-02-17,2019-02,1105.28,1105.28,0,PER_INVOICE_FIFO_BATCH,3,ASSERTED,00005437,Settled via FIFO_BATCH profile (1 allocation row(s)).
00004807,INVOICE,2019-02-19,2019-02,1200,1200,0,PER_INVOICE_FIFO_BATCH,3,ASSERTED,00005437,Settled via FIFO_BATCH profile (1 allocation row(s)).
00004820,INVOICE,2019-02-22,2019-02,600,600,0,PER_INVOICE_FIFO_BATCH,3,ASSERTED,00005437,Settled via FIFO_BATCH profile (1 allocation row(s)).
00004839,INVOICE,2019-02-27,2019-02,1200,1027.59,172.41,UNCHARACTERIZED,5,UNASSESSED,,"No candidate found (exact-sum, contiguous-run, proximity, or cross-account). Genuine gap requiring investigation."
00004850,INVOICE,2019-03-01,2019-03,600,0,600,UNCHARACTERIZED,5,UNASSESSED,,"No candidate found (exact-sum, contiguous-run, proximity, or cross-account). Genuine gap requiring investigation."
00004866,INVOICE,2019-03-04,2019-03,1200,0,1200,UNCHARACTERIZED,5,UNASSESSED,,"No candidate found (exact-sum, contiguous-run, proximity, or cross-account). Genuine gap requiring investigation."
00004886,INVOICE,2019-03-08,2019-03,975,0,975,UNCHARACTERIZED,5,UNASSESSED,,"No candidate found (exact-sum, contiguous-run, proximity, or cross-account). Genuine gap requiring investigation."
00004900,INVOICE,2019-03-12,2019-03,1299.99,0,1299.99,UNCHARACTERIZED,5,UNASSESSED,,"No candidate found (exact-sum, contiguous-run, proximity, or cross-account). Genuine gap requiring investigation."
00004920,INVOICE,2019-03-15,2019-03,1300.01,0,1300.01,UNCHARACTERIZED,5,UNASSESSED,,"No candidate found (exact-sum, contiguous-run, proximity, or cross-account). Genuine gap requiring investigation."
00004942,INVOICE,2019-03-20,2019-03,1625,0,1625,UNCHARACTERIZED,5,UNASSESSED,,"No candidate found (exact-sum, contiguous-run, proximity, or cross-account). Genuine gap requiring investigation."
00004960,INVOICE,2019-03-23,2019-03,975,0,975,UNCHARACTERIZED,5,UNASSESSED,,"No candidate found (exact-sum, contiguous-run, proximity, or cross-account). Genuine gap requiring investigation."
00004973,INVOICE,2019-03-27,2019-03,1300.01,0,1300.01,UNCHARACTERIZED,5,UNASSESSED,,"No candidate found (exact-sum, contiguous-run, proximity, or cross-account). Genuine gap requiring investigation."
00005001,INVOICE,2019-03-30,2019-03,650,0,650,UNCHARACTERIZED,5,UNASSESSED,,"No candidate found (exact-sum, contiguous-run, proximity, or cross-account). Genuine gap requiring investigation."
00005013,INVOICE,2019-04-02,2019-04,1625.01,1625.01,0,PER_INVOICE_FIFO_BATCH,3,ASSERTED,00005436,Settled via FIFO_BATCH profile (1 allocation row(s)).
00005030,INVOICE,2019-04-05,2019-04,1439.98,1439.98,0,PER_INVOICE_FIFO_BATCH,3,ASSERTED,00005436,Settled via FIFO_BATCH profile (1 allocation row(s)).
00005047,INVOICE,2019-04-10,2019-04,1439.98,1439.98,0,PER_INVOICE_FIFO_BATCH,3,ASSERTED,00005436,Settled via FIFO_BATCH profile (1 allocation row(s)).
00005063,INVOICE,2019-04-13,2019-04,719.99,719.99,0,PER_INVOICE_FIFO_BATCH,3,ASSERTED,00005436,Settled via FIFO_BATCH profile (1 allocation row(s)).
00005072,INVOICE,2019-04-16,2019-04,1799.98,1799.98,0,PER_INVOICE_FIFO_BATCH,3,ASSERTED,00005436,Settled via FIFO_BATCH profile (1 allocation row(s)).
00005083,INVOICE,2019-04-18,2019-04,1439.98,1439.98,0,PER_INVOICE_FIFO_BATCH,3,ASSERTED,00005436,Settled via FIFO_BATCH profile (1 allocation row(s)).
00005106,INVOICE,2019-04-24,2019-04,1439.98,1439.98,0,PER_INVOICE_FIFO_BATCH,3,ASSERTED,00005436,Settled via FIFO_BATCH profile (1 allocation row(s)).
00005112,INVOICE,2019-04-25,2019-04,1439.98,1439.98,0,PER_INVOICE_FIFO_BATCH,3,ASSERTED,00005436,Settled via FIFO_BATCH profile (1 allocation row(s)).
00005130,INVOICE,2019-04-30,2019-04,2159.98,2159.98,0,PER_INVOICE_FIFO_BATCH,3,ASSERTED,00005436,Settled via FIFO_BATCH profile (1 allocation row(s)).
00005157,INVOICE,2019-05-06,2019-05,1125.01,1125.01,0,PER_INVOICE_FIFO_BATCH,3,ASSERTED,00005618,Settled via FIFO_BATCH profile (1 allocation row(s)).
00005167,INVOICE,2019-05-09,2019-05,1875.02,1875.02,0,PER_INVOICE_FIFO_BATCH,3,ASSERTED,00005618,Settled via FIFO_BATCH profile (1 allocation row(s)).
00005193,INVOICE,2019-05-15,2019-05,1960.58,1960.58,0,PER_INVOICE_FIFO_BATCH,3,ASSERTED,00005618,Settled via FIFO_BATCH profile (1 allocation row(s)).
00005206,INVOICE,2019-05-17,2019-05,750.01,750.01,0,PER_INVOICE_FIFO_BATCH,3,ASSERTED,00005618,Settled via FIFO_BATCH profile (1 allocation row(s)).
00005231,INVOICE,2019-05-22,2019-05,1500.01,1500.01,0,PER_INVOICE_FIFO_BATCH,3,ASSERTED,00005618,Settled via FIFO_BATCH profile (1 allocation row(s)).
00005253,INVOICE,2019-05-24,2019-05,1500,1414.37,85.63,UNCHARACTERIZED,5,UNASSESSED,,"No candidate found (exact-sum, contiguous-run, proximity, or cross-account). Genuine gap requiring investigation."
00005297,INVOICE,2019-06-01,2019-06,1500,1500,0,PER_INVOICE_FIFO_BATCH,3,ASSERTED,00005804,Settled via FIFO_BATCH profile (1 allocation row(s)).
00005306,INVOICE,2019-06-04,2019-06,1500,1500,0,PER_INVOICE_FIFO_BATCH,3,ASSERTED,00005804,Settled via FIFO_BATCH profile (1 allocation row(s)).
00005330,INVOICE,2019-06-07,2019-06,1500,1500,0,PER_INVOICE_FIFO_BATCH,3,ASSERTED,00005804,Settled via FIFO_BATCH profile (1 allocation row(s)).
00005345,INVOICE,2019-06-11,2019-06,1500,1500,0,PER_INVOICE_FIFO_BATCH,3,ASSERTED,00005804,Settled via FIFO_BATCH profile (1 allocation row(s)).
00005361,INVOICE,2019-06-14,2019-06,1125,1125,0,PER_INVOICE_FIFO_BATCH,3,ASSERTED,00005804,Settled via FIFO_BATCH profile (1 allocation row(s)).
00005374,INVOICE,2019-06-18,2019-06,1500,1500,0,PER_INVOICE_FIFO_BATCH,3,ASSERTED,00005804,Settled via FIFO_BATCH profile (1 allocation row(s)).
00005400,INVOICE,2019-06-21,2019-06,1500,1500,0,PER_INVOICE_FIFO_BATCH,3,ASSERTED,00005804,Settled via FIFO_BATCH profile (1 allocation row(s)).
00005432,INVOICE,2019-06-26,2019-06,1500,1500,0,PER_INVOICE_FIFO_BATCH,3,ASSERTED,00005804,Settled via FIFO_BATCH profile (1 allocation row(s)).
00005451,INVOICE,2019-06-28,2019-06,1125,1125,0,PER_INVOICE_FIFO_BATCH,3,ASSERTED,00005804,Settled via FIFO_BATCH profile (1 allocation row(s)).
00005463,INVOICE,2019-07-02,2019-07,1875.02,1875.02,0,PER_INVOICE_FIFO_BATCH,3,ASSERTED,00005876,Settled via FIFO_BATCH profile (1 allocation row(s)).
00005480,INVOICE,2019-07-05,2019-07,1500,1500,0,PER_INVOICE_FIFO_BATCH,3,ASSERTED,00005876,Settled via FIFO_BATCH profile (1 allocation row(s)).
00005496,INVOICE,2019-07-08,2019-07,1500,1500,0,PER_INVOICE_FIFO_BATCH,3,ASSERTED,00005876,Settled via FIFO_BATCH profile (1 allocation row(s)).
00005515,INVOICE,2019-07-12,2019-07,1500,1500,0,PER_INVOICE_FIFO_BATCH,3,ASSERTED,00005876,Settled via FIFO_BATCH profile (1 allocation row(s)).
00005522,INVOICE,2019-07-15,2019-07,554,554,0,PER_INVOICE_FIFO_BATCH,3,ASSERTED,00005876,Settled via FIFO_BATCH profile (1 allocation row(s)).
00005525,INVOICE,2019-07-16,2019-07,1874.99,1874.99,0,PER_INVOICE_FIFO_BATCH,3,ASSERTED,00005876,Settled via FIFO_BATCH profile (1 allocation row(s)).
00005543,INVOICE,2019-07-19,2019-07,1500,1500,0,PER_INVOICE_FIFO_BATCH,3,ASSERTED,00005876,Settled via FIFO_BATCH profile (1 allocation row(s)).
00005638,INVOICE,2019-07-19,2019-07,552,0,552,UNCHARACTERIZED,5,UNASSESSED,,"No candidate found (exact-sum, contiguous-run, proximity, or cross-account). Genuine gap requiring investigation."
00005561,INVOICE,2019-07-23,2019-07,1500,1500,0,PER_INVOICE_FIFO_BATCH,3,ASSERTED,00005876,Settled via FIFO_BATCH profile (1 allocation row(s)).
00005582,INVOICE,2019-07-26,2019-07,1125,1125,0,PER_INVOICE_FIFO_BATCH,3,ASSERTED,00005876,Settled via FIFO_BATCH profile (1 allocation row(s)).
00005593,INVOICE,2019-07-30,2019-07,1500,1499.99,0.01,PER_INVOICE_FIFO_BATCH,3,ASSERTED,00005876,Settled via FIFO_BATCH profile (1 allocation row(s)).
00005603,INVOICE,2019-08-02,2019-08,1500,1500,0,PER_INVOICE_FIFO_BATCH,3,ASSERTED,00005988,Settled via FIFO_BATCH profile (1 allocation row(s)).
00005612,INVOICE,2019-08-06,2019-08,1874.99,1874.99,0,PER_INVOICE_FIFO_BATCH,3,ASSERTED,00005988,Settled via FIFO_BATCH profile (1 allocation row(s)).
00005624,INVOICE,2019-08-08,2019-08,1500,1500,0,PER_INVOICE_FIFO_BATCH,3,ASSERTED,00005988,Settled via FIFO_BATCH profile (1 allocation row(s)).
00005652,INVOICE,2019-08-14,2019-08,1500,1500,0,PER_INVOICE_FIFO_BATCH,3,ASSERTED,00005988,Settled via FIFO_BATCH profile (1 allocation row(s)).
00005667,INVOICE,2019-08-16,2019-08,1500,1500,0,PER_INVOICE_FIFO_BATCH,3,ASSERTED,00005988,Settled via FIFO_BATCH profile (1 allocation row(s)).
00005678,INVOICE,2019-08-21,2019-08,1500,1500,0,PER_INVOICE_FIFO_BATCH,3,ASSERTED,00005988,Settled via FIFO_BATCH profile (1 allocation row(s)).
00005688,INVOICE,2019-08-23,2019-08,1125,1125,0,PER_INVOICE_FIFO_BATCH,3,ASSERTED,00005988,Settled via FIFO_BATCH profile (1 allocation row(s)).
00005698,INVOICE,2019-08-26,2019-08,1500,1500,0,PER_INVOICE_FIFO_BATCH,3,ASSERTED,00005988,Settled via FIFO_BATCH profile (1 allocation row(s)).
00005710,INVOICE,2019-08-29,2019-08,1500,1500,0,PER_INVOICE_FIFO_BATCH,3,ASSERTED,00005988,Settled via FIFO_BATCH profile (1 allocation row(s)).
00005712,INVOICE,2019-08-30,2019-08,375,375,0,PER_INVOICE_FIFO_BATCH,3,ASSERTED,00005988,Settled via FIFO_BATCH profile (1 allocation row(s)).
00005716,INVOICE,2019-09-02,2019-09,1500,1500,0,PER_INVOICE_FIFO_BATCH,3,ASSERTED,00006104,Settled via FIFO_BATCH profile (1 allocation row(s)).
00005742,INVOICE,2019-09-05,2019-09,1874.99,1874.99,0,PER_INVOICE_FIFO_BATCH,3,ASSERTED,00006104,Settled via FIFO_BATCH profile (1 allocation row(s)).
00005753,INVOICE,2019-09-09,2019-09,1875.02,1875.02,0,PER_INVOICE_FIFO_BATCH,3,ASSERTED,00006104,Settled via FIFO_BATCH profile (1 allocation row(s)).
00005768,INVOICE,2019-09-13,2019-09,1874.99,1874.99,0,PER_INVOICE_FIFO_BATCH,3,ASSERTED,00006104,Settled via FIFO_BATCH profile (1 allocation row(s)).
00005779,INVOICE,2019-09-17,2019-09,1500,1500,0,PER_INVOICE_FIFO_BATCH,3,ASSERTED,00006104,Settled via FIFO_BATCH profile (1 allocation row(s)).
00005797,INVOICE,2019-09-20,2019-09,1500,1500,0,PER_INVOICE_FIFO_BATCH,3,ASSERTED,00006104,Settled via FIFO_BATCH profile (1 allocation row(s)).
00005807,INVOICE,2019-09-25,2019-09,1874.99,1874.99,0,PER_INVOICE_FIFO_BATCH,3,ASSERTED,00006104,Settled via FIFO_BATCH profile (1 allocation row(s)).
00005821,INVOICE,2019-09-30,2019-09,1874.99,1874.99,0,PER_INVOICE_FIFO_BATCH,3,ASSERTED,00006104,Settled via FIFO_BATCH profile (1 allocation row(s)).
00005848,INVOICE,2019-10-04,2019-10,1874.99,1874.99,0,PER_INVOICE_FIFO_BATCH,3,ASSERTED,00006316,Settled via FIFO_BATCH profile (1 allocation row(s)).
00005864,INVOICE,2019-10-11,2019-10,1874.99,1874.99,0,PER_INVOICE_FIFO_BATCH,3,ASSERTED,00006316,Settled via FIFO_BATCH profile (1 allocation row(s)).
00005872,INVOICE,2019-10-15,2019-10,1874.99,1874.99,0,PER_INVOICE_FIFO_BATCH,3,ASSERTED,00006316,Settled via FIFO_BATCH profile (1 allocation row(s)).
00005883,INVOICE,2019-10-18,2019-10,1500,1500,0,PER_INVOICE_FIFO_BATCH,3,ASSERTED,00006316,Settled via FIFO_BATCH profile (1 allocation row(s)).
00005900,INVOICE,2019-10-23,2019-10,1874.99,1874.99,0,PER_INVOICE_FIFO_BATCH,3,ASSERTED,00006316,Settled via FIFO_BATCH profile (1 allocation row(s)).
00005907,INVOICE,2019-10-26,2019-10,750,750,0,PER_INVOICE_FIFO_BATCH,3,ASSERTED,00006316,Settled via FIFO_BATCH profile (1 allocation row(s)).
00005924,INVOICE,2019-10-30,2019-10,1125,1125,0,PER_INVOICE_FIFO_BATCH,3,ASSERTED,00006316,Settled via FIFO_BATCH profile (1 allocation row(s)).
00005931,INVOICE,2019-11-01,2019-11,1874.99,1874.99,0,PER_INVOICE_FIFO_BATCH,3,ASSERTED,00006376,Settled via FIFO_BATCH profile (1 allocation row(s)).
00005945,INVOICE,2019-11-07,2019-11,1500,1500,0,PER_INVOICE_FIFO_BATCH,3,ASSERTED,00006376,Settled via FIFO_BATCH profile (1 allocation row(s)).
00005949,INVOICE,2019-11-08,2019-11,1500,1500,0,PER_INVOICE_FIFO_BATCH,3,ASSERTED,00006376,Settled via FIFO_BATCH profile (1 allocation row(s)).
00005961,INVOICE,2019-11-12,2019-11,1500,1500,0,PER_INVOICE_FIFO_BATCH,3,ASSERTED,00006376,Settled via FIFO_BATCH profile (1 allocation row(s)).
00005978,INVOICE,2019-11-15,2019-11,1500,1500,0,PER_INVOICE_FIFO_BATCH,3,ASSERTED,00006376,Settled via FIFO_BATCH profile (1 allocation row(s)).
00005990,INVOICE,2019-11-20,2019-11,1874.99,0,1874.99,UNCHARACTERIZED,5,UNASSESSED,,"No candidate found (exact-sum, contiguous-run, proximity, or cross-account). Genuine gap requiring investigation."
00005991,INVOICE,2019-11-20,2019-11,1799.98,1799.98,0,PER_INVOICE_FIFO_BATCH,3,ASSERTED,00006376,Settled via FIFO_BATCH profile (1 allocation row(s)).
00006000,INVOICE,2019-11-22,2019-11,719.99,719.99,0,PER_INVOICE_FIFO_BATCH,3,ASSERTED,00006376,Settled via FIFO_BATCH profile (1 allocation row(s)).
00006007,INVOICE,2019-11-26,2019-11,1439.98,1439.98,0,PER_INVOICE_FIFO_BATCH,3,ASSERTED,00006376,Settled via FIFO_BATCH profile (1 allocation row(s)).
00006028,INVOICE,2019-11-29,2019-11,1079.99,1079.99,0,PER_INVOICE_FIFO_BATCH,3,ASSERTED,00006376,Settled via FIFO_BATCH profile (1 allocation row(s)).
00006044,INVOICE,2019-12-03,2019-12,1799.98,1799.98,0,PER_INVOICE_FIFO_BATCH,3,ASSERTED,00006423,Settled via FIFO_BATCH profile (1 allocation row(s)).
00006057,INVOICE,2019-12-06,2019-12,1079.99,1079.99,0,PER_INVOICE_FIFO_BATCH,3,ASSERTED,00006423,Settled via FIFO_BATCH profile (1 allocation row(s)).
00006068,INVOICE,2019-12-09,2019-12,1439.98,1439.98,0,PER_INVOICE_FIFO_BATCH,3,ASSERTED,00006423,Settled via FIFO_BATCH profile (1 allocation row(s)).
00006086,INVOICE,2019-12-13,2019-12,1828.5,1828.5,0,PER_INVOICE_FIFO_BATCH,3,ASSERTED,00006423,Settled via FIFO_BATCH profile (1 allocation row(s)).
00006097,INVOICE,2019-12-17,2019-12,1828.5,1828.5,0,PER_INVOICE_FIFO_BATCH,3,ASSERTED,00006423,Settled via FIFO_BATCH profile (1 allocation row(s)).
00006114,INVOICE,2019-12-20,2019-12,1462.8,1462.8,0,PER_INVOICE_FIFO_BATCH,3,ASSERTED,00006423,Settled via FIFO_BATCH profile (1 allocation row(s)).
00006126,INVOICE,2019-12-23,2019-12,2194.2,2194.2,0,PER_INVOICE_FIFO_BATCH,3,ASSERTED,00006423,Settled via FIFO_BATCH profile (1 allocation row(s)).
00006140,INVOICE,2019-12-28,2019-12,1097.1,1081.05,16.05,UNCHARACTERIZED,5,UNASSESSED,,"No candidate found (exact-sum, contiguous-run, proximity, or cross-account). Genuine gap requiring investigation."
00006145,INVOICE,2020-01-01,2020-01,1462.8,1462.8,0,PER_INVOICE_FIFO_BATCH,3,ASSERTED,00006685,Settled via FIFO_BATCH profile (1 allocation row(s)).
00006151,INVOICE,2020-01-03,2020-01,1480,1480,0,PER_INVOICE_FIFO_BATCH,3,ASSERTED,00006685,Settled via FIFO_BATCH profile (1 allocation row(s)).
00006158,INVOICE,2020-01-06,2020-01,1110,1110,0,PER_INVOICE_FIFO_BATCH,3,ASSERTED,00006685,Settled via FIFO_BATCH profile (1 allocation row(s)).
00006165,INVOICE,2020-01-09,2020-01,1875.02,1875.02,0,PER_INVOICE_FIFO_BATCH,3,ASSERTED,00006685,Settled via FIFO_BATCH profile (1 allocation row(s)).
00006179,INVOICE,2020-01-14,2020-01,1500.01,1500.01,0,PER_INVOICE_FIFO_BATCH,3,ASSERTED,00006685,Settled via FIFO_BATCH profile (1 allocation row(s)).
00006191,INVOICE,2020-01-17,2020-01,1500.01,1500.01,0,PER_INVOICE_FIFO_BATCH,3,ASSERTED,00006685,Settled via FIFO_BATCH profile (1 allocation row(s)).
00006205,INVOICE,2020-01-22,2020-01,1875.02,1875.02,0,PER_INVOICE_FIFO_BATCH,3,ASSERTED,00006685,Settled via FIFO_BATCH profile (1 allocation row(s)).
00006209,INVOICE,2020-01-24,2020-01,1500.01,1500.01,0,PER_INVOICE_FIFO_BATCH,3,ASSERTED,00006685,Settled via FIFO_BATCH profile (1 allocation row(s)).
00006230,INVOICE,2020-01-29,2020-01,1500.01,1500.01,0,PER_INVOICE_FIFO_BATCH,3,ASSERTED,00006685,Settled via FIFO_BATCH profile (1 allocation row(s)).
00006238,INVOICE,2020-01-31,2020-01,1500.01,1499.92,0.09,PER_CALENDAR_MONTH_EXACT_SUM,3,ASSERTED,00006376,"STEP 3 candidate (EXACT_SUM_SINGLE) vs payment 00006376; basket-check: LPG lane consistent, SKU baskets present. Script-generated — not ERP/human-confirmed. Per D-NEW.5, month-level tie-out only — never treat as per-invoice-confident."
00006248,INVOICE,2020-02-04,2020-02,1125.01,0,1125.01,UNCHARACTERIZED,5,UNASSESSED,,"No candidate found (exact-sum, contiguous-run, proximity, or cross-account). Genuine gap requiring investigation."
00006260,INVOICE,2020-02-07,2020-02,1125,0,1125,PER_CALENDAR_MONTH_EXACT_SUM,3,ASSERTED,00005226,"STEP 3 candidate (EXACT_SUM_RUN) vs payment 00005226; basket-check: LPG lane consistent, SKU baskets present. Script-generated — not ERP/human-confirmed. Per D-NEW.5, month-level tie-out only — never treat as per-invoice-confident."
00006277,INVOICE,2020-02-11,2020-02,1875.02,0,1875.02,PER_CALENDAR_MONTH_EXACT_SUM,3,ASSERTED,00005226,"STEP 3 candidate (EXACT_SUM_RUN) vs payment 00005226; basket-check: LPG lane consistent, SKU baskets present. Script-generated — not ERP/human-confirmed. Per D-NEW.5, month-level tie-out only — never treat as per-invoice-confident."
00006293,INVOICE,2020-02-14,2020-02,1500,0,1500,UNCHARACTERIZED,5,UNASSESSED,,"No candidate found (exact-sum, contiguous-run, proximity, or cross-account). Genuine gap requiring investigation."
00006306,INVOICE,2020-02-18,2020-02,1874.99,0,1874.99,UNCHARACTERIZED,5,UNASSESSED,,"No candidate found (exact-sum, contiguous-run, proximity, or cross-account). Genuine gap requiring investigation."
00006330,INVOICE,2020-02-21,2020-02,1125,0,1125,PER_CALENDAR_MONTH_EXACT_SUM,3,ASSERTED,00004832,"STEP 3 candidate (EXACT_SUM_RUN) vs payment 00004832; basket-check: LPG lane consistent, SKU baskets present. Script-generated — not ERP/human-confirmed. Per D-NEW.5, month-level tie-out only — never treat as per-invoice-confident."
00006341,INVOICE,2020-02-25,2020-02,1500.01,0,1500.01,PER_CALENDAR_MONTH_EXACT_SUM,3,ASSERTED,00004832,"STEP 3 candidate (EXACT_SUM_RUN) vs payment 00004832; basket-check: LPG lane consistent, SKU baskets present. Script-generated — not ERP/human-confirmed. Per D-NEW.5, month-level tie-out only — never treat as per-invoice-confident."
00006354,INVOICE,2020-02-28,2020-02,1125,0,1125,PER_CALENDAR_MONTH_EXACT_SUM,3,ASSERTED,00004832,"STEP 3 candidate (EXACT_SUM_RUN) vs payment 00004832; basket-check: LPG lane consistent, SKU baskets present. Script-generated — not ERP/human-confirmed. Per D-NEW.5, month-level tie-out only — never treat as per-invoice-confident."
00006367,INVOICE,2020-03-04,2020-03,1875.02,0,1875.02,UNCHARACTERIZED,5,UNASSESSED,,"No candidate found (exact-sum, contiguous-run, proximity, or cross-account). Genuine gap requiring investigation."
00006381,INVOICE,2020-03-06,2020-03,750.01,0,750.01,UNCHARACTERIZED,5,UNASSESSED,,"No candidate found (exact-sum, contiguous-run, proximity, or cross-account). Genuine gap requiring investigation."
